"to","lamports"
"2VgeeCb4czYoa5KQjyAnDE8anNTY5XVpGUGhv2ZrT5BL",89637
"7XeaqmMP34EvRG2fHK2q5aYgC3WUbbtuL9adkg3PA42g",7892228
"2VPTK9zbTm2TrctUe6HkFUj4nr7PNzoEYkQ8PfRwC4Rr",616519
"GfWhW2MxWQTZagTJGFeSxrqsgadzdS1NUPujjePRqY98",4317718
"FREPfxf7W4LzPsZLgRXc3oWy7BtENmsPdPpa2JHPLJhX",587676
"sMmZnfsQRmsAwM9DeBQvjf7Q1wrfXdCojeMhnRVrwRj",7062916
"6vbPtHsEmKjf1FqbHmJcvvihLQYiEP1mycp38FjwxFiG",6231391
"7SYesKz6f9iX1FDYipD2GDyuz7aQ9WpvFj1WjieMCDHm",9398956
"4n993sbo818LpvP9AuhPHXxbpFtVSoSqjMfg9um3pBDg",9286667
"3SvxfQ2o8v7yBGz8PkFBumd4L3hAmd38bsdVjvD5Sztx",7536955
"CtHh2ZZzvDqoCGHXagoBt2YxjUK5XXWRMrnUvZxksKNL",4999535
"J3j4h2tKEFJATdrvDEBwjR6656o7ahVNPEwbsaWRghpD",9348177
"4MnuvZ7zYhyBABfzsSCpFvZBW7tUcyoyW28EQ7SYFTxn",5724745
"BwEjMmmca3sjCYGFnpm5hKBVwnNGuEn5aC5FALLMPqq7",6233522
"71XoZikGMpF8AEwVugyuPtvEoRDDjssGBFUYQnUDA8rZ",1029727
"BbsVrZszXxf23nEXfoJV1Xu5aaRb1ZuxrzdThjVXMQsq",6561927
"2WjzcyEUGEAvnjViu2JjpQiEx6897Es4wCu4YiWAhAVw",5628686
"3dNpRdzrmSgDMhi8JzW7u5ZUfEeZd8yUN42WoDpYZ5bX",6890060
"2s4WRRvK9v48TvBRxYYfbrNBELbkVu6jE6oPbDgKzV8a",669378
"4vqCAVC4EEa9tXCpDPn13E64tbniaQMzjmxRksSVmCNS",9323196
"7gg7L7AnN9ocqAkRgYqmA1F6meJ37m4yEbshMfsfHQYR",4551668
"4nPVSdxPFTZXYz5qdCjBi8MpZn3YEmJG38BoacQb5Y56",4051291
"GYogRB9LpASSfdBLJoKcPzS4RH8hXMUkr1L1k9rPAzMT",73274
"AEimTmwgPK1BZ6zhTZeGgswLTh6r4MTgG6keBAcAeMJB",8272633
"64ZxBP6nq9fNcg1L7GpLCM8L2f3hpjN8jCuwyYRhYSSP",7827090
"4xngd784HfkcKJiqQyXfA24iqh6sQNeacxyNjjZuDwZ6",4380341
"6p9uLFVkUPurcrWkSUPKfaQJaqyxWpduWBbbzMdjDHHb",9920158
"2rYamc6yXwcjV8R8k7bSeaLu5CxAwGQ8pcPcTeAD15uU",7661539
"EMwf4YBL3S5QhL9hDNEQU9rGMsKcs4W1aZvE2Hc2mjpY",5013502
"8sSJg5kMmTppErun8kAqbFb4CWHZsTJKxWQYJU9FuWVB",454160
"8kWnNentPwHi45D87DCj2UhqVoARSeFjULeo4WhDCbYd",5597695
"A4wjK8WSufjP674N6cqiCZHutPib34gjAxKG9qt1ZbAV",7903821
"Cj6fo1VQUpA8U8CA8xVoXw4dSYS9pb91TxuEbExD5XTp",8734409
"BSPV7VFCxUZ6XZ6TiwocHhUJA6iQ3zxaLgNNhouMC25X",1961336
"5eYUNbGnKhgG2VTdySCCgdminP6wgomKMaPGGzAQuaYS",1462794
"9jvMnJk8hNDKa915xA4tR76ZxMqg9fVrVkQfHBsFBBSJ",1297505
"49P4rvNXK8zXduXLVmtTfePWgwxoqYJQ9uY7JPQ8MkbD",2651197
"o2QEdXJQNTuQs7K2Ga7fingUH1mqhNmTxdtrmJvCy6J",8354607
"5TM3obwCjUngMsbAWTDweMJLbSchYpxtfZ63LDAHR8Q",3159771
"H6LgDCzeGBNjZ8CxpcNzHnZW1TabsEeyCC7ckkvntnnJ",7082946
"DFpoYFTg6bg6ohwsTLYSBWgpGuqQLscFP7oUgmwLo7kC",1076149
"CGe2hiYuMwSHGH3U7MBHMiXQTdRXe6XnJu9gJNsArbcd",4618112
"EwbUGJcTWmyHi9MFjAKUG3vErb1bxAN5BXxBzzzgzEay",6005039
"D3vK2R6EA7Fjn54EtgxUXwnDqiJ3u2u1kmMWcZdqw3aF",635932
"8XQdD1pexUW774CxxiVpV8hb3DSeBkURnKtKqFRmLKFA",5861388
"HMrnPMWm8yALRSpcHJiQiLiQi2QPuXfEurCdSKKaQwvK",6107902
"4Hbzr7D21hUmCW1TobjPVX5ndp9zk7i3ai1tj9JrMQVB",1102594
"6yHXKDFjdMdtD3pFFM8iyd5URKygKEovmbWU64KN3zUe",6993726
"5UuTGwrrqKqxsWM2yQdo9Ja12yhe66tFkPyCpqGEs74R",3967501
"72w3Jmi9Byg5682hA7RxYVe32UDGAmsyQJvTPRDgrodt",7582043
"6Hj5wgm118ewcmVfA9Gb8uoko2VDZ9DddCa89o75RnK",117085
"DYNtFJ2UPX8a6vTHqgrBxS3LYptHrzjgTTYPJwuQNZBp",8490113
"7Jxw99r9aqL3wCxJDH3tkgnHPmu4dXjkKt9tvwenQ8rw",8819293
"G9h6tf1R9tPqzUzb4ZtwXuPcm13k53qppzXSKUUhQiV4",2161711
"BsVt4KD81cuXLmbCC8VWRRFcvNhF4yKJegbntDzWKJMA",1078074
"BRCwm6E8MSGi1W2NwpC7o6C7SKstecXtqjKNM389wNsw",3619385
"BBjdDJvveZrxKxUJeoz1zER7sUXjG5tZEj1dJTwg51ce",2636561
"B59WyDyDpBBubRxyRdBhzaL5yP3wzSDrQiddV1LCUurG",5819758
"EKzByHinqenfazR4n2QHVtXKduHA27YpW3g51Gpo7UBm",4607400
"BWsvsuKvnidwYg5EeNh4EmKJshkkXUg481bw2mFueq8j",6554389
"51gAX2oRM4aHyLRxN88LpAFBxTbiGAN7tWZ5V12vEs8F",3189182
"AwSRQ8qWz36oHMpdzHVQ2yzbJgKeH8UEv5dzKyf77bX",3381363
"Dv9fu9UjfhL1v5GRsWSoV8MrKzTexTSjVAKiPrNTYAKP",4756593
"4AErqhQNABPF6n2KTTHA7Mu5JjkMxwM7GmG8u9jBYWwj",6696199
"wRCMHUZbPZnsM84Q8G63tEEJKcoAe9kj84FUDMkECXP",3618743
"BskMaEb4e34yferMv79ihDvoJmU2rwdd8C2ba4NrSDUV",1457923
"Fv8m5tDn1TpEBWyyVkpoHUifS4owkYWAv7LGXdJpWirz",9862907
"7FBs1MijGCbigvm56479RoQdFeSd5kY4xP7SSLyYjiKc",17967
"5aCE4DAxfJF12D1NTi8NUFLTcWaWEckBoRr21iTtaibD",6351423
"CJhQYEc36ULRpggYPpoqvQDNJ2nC6DhXfDn7dQTL3jSR",7233481
"8KdyzfTAB2VmbcajF1jHB97pHQkAkh9tcLM1xAJkUcme",8421580
"JDy9nenLy9Lq2G3DeN4Z1853g1b3MPeckAEUyaPai9fX",1127439
"4snHtnyFnpzMcqxpvnjchHQJYQW4vgrC2V499p2kCM7f",5602327
"BwETAZH8X4z85Qat5sstNDJqA5HbyqGPyoZPp2kv8zxH",3745348
"9xEq1qkMXmFfLi8cwwVxA2RyAhsrpoVVQHocJffhDP5N",1857093
"CBQVkCaVd6YQgX3NfpAaBeQ6eiy7EAW9M33Gjy2HvN3Y",2652254
"2c2JpULR8eFa7pdXFK3TYavizqcNkh3Lup1YqMW5CNhm",2357175
"C81Wiz9dCgF6fs7aQhVWYmo7bW1cqZGVFJGidnurFWRh",5153137
"C5USyPNsj2fCMfCFSca9qTpF4fiw6p5bhR6qdSugDKvc",2984288
"FRGuKXTGRKX5KsMn19DYHZhnVFh3TDsyNzjrSEnvEYx2",7571185
"6ZCeqTMcYSyueotPtKb1vGWawEHMFabeTxVP6vn9pr2V",1934015
"EUFCaeUjkULcLTC5JSZKm4zKFbTp7bHjbSMmWATWoDne",6778725
